127.0.0.1, 2024-03-20 12:42:24, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.833236
127.0.0.1, 2024-03-20 12:42:25, GET, /SIP_application/static/js/attendance.js, HTTP/1.1, 200, 0.004808
127.0.0.1, 2024-03-20 12:42:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000217
127.0.0.1, 2024-03-20 15:01:50, GET, /SIP_application, HTTP/1.1, 200, 2.755632
127.0.0.1, 2024-03-20 15:01:57, GET, /SIP_application/static/js/attendance.js, HTTP/1.1, 304, 0.000903
127.0.0.1, 2024-03-20 15:01:57, GET, /SIP_application/static/images/background.jpg, HTTP/1.1, 404, 0.000680
127.0.0.1, 2024-03-20 15:02:22, GET, /SIP_application/students/students_view, HTTP/1.1, 200, 0.089254
127.0.0.1, 2024-03-20 15:02:23, GET, /SIP_application/static/build/static/js/main.2f55d4b9.js, HTTP/1.1, 200, 0.002960
127.0.0.1, 2024-03-20 15:02:23, GET, /SIP_application/static/build/static/css/main.ee5f1a32.css, HTTP/1.1, 200, 0.011927
127.0.0.1, 2024-03-20 15:02:25, GET, /favicon.ico, HTTP/1.1, 400, 0.002553
127.0.0.1, 2024-03-20 15:02:32, GET, /SIP_application/subjects/subjects_view, HTTP/1.1, 200, 0.442369
127.0.0.1, 2024-03-20 15:02:39, GET, /SIP_application/classrooms/classrooms_view, HTTP/1.1, 200, 0.201839
127.0.0.1, 2024-03-20 15:02:41, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.110034
127.0.0.1, 2024-03-20 15:03:01, GET, /SIP_application, HTTP/1.1, 200, 0.274016
127.0.0.1, 2024-03-20 15:03:03, GET, /SIP_application/static/images/background.jpg, HTTP/1.1, 404, 0.002714
127.0.0.1, 2024-03-20 15:03:25, GET, /admin/default/edit/SIP_application/models/db.py, HTTP/1.1, 303, 0.346773
127.0.0.1, 2024-03-20 15:03:25, GET, /admin/default/index, HTTP/1.1, 200, 0.093650
127.0.0.1, 2024-03-20 15:03:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000351
127.0.0.1, 2024-03-20 15:03:29, POST, /admin/default/index, HTTP/1.1, 303, 0.065084
127.0.0.1, 2024-03-20 15:03:29, GET, /admin/default/edit/SIP_application/models/db.py, HTTP/1.1, 200, 0.082346
127.0.0.1, 2024-03-20 15:03:31, GET, /admin/default/edit/SIP_application/models/db.py, HTTP/1.1, 200, 0.091335
127.0.0.1, 2024-03-20 15:03:31, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.303144
127.0.0.1, 2024-03-20 15:03:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.408795
127.0.0.1, 2024-03-20 15:03:32, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.401976
127.0.0.1, 2024-03-20 15:03:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000502
127.0.0.1, 2024-03-20 15:03:32, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.748810
127.0.0.1, 2024-03-20 15:03:32, GET, /SIP_application/appadmin/hooks, HTTP/1.1, 200, 1.050333
127.0.0.1, 2024-03-20 15:03:35, GET, /admin, HTTP/1.1, 303, 0.016451
127.0.0.1, 2024-03-20 15:03:35, GET, /admin/default/site, HTTP/1.1, 200, 0.151059
127.0.0.1, 2024-03-20 15:03:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000763
127.0.0.1, 2024-03-20 15:03:36, POST, /admin/default/check_version, HTTP/1.1, 200, 0.783930
127.0.0.1, 2024-03-20 15:03:40, GET, /admin/default/design/SIP_application, HTTP/1.1, 200, 0.722622
127.0.0.1, 2024-03-20 15:03:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000735
127.0.0.1, 2024-03-20 15:03:45, GET, /SIP_application/appadmin/index, HTTP/1.1, 200, 1.953287
127.0.0.1, 2024-03-20 15:03:53, GET, /SIP_application/appadmin/hooks, HTTP/1.1, 200, 7.623605
127.0.0.1, 2024-03-20 15:03:56, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 6.771260
127.0.0.1, 2024-03-20 15:03:58, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 4.482670
127.0.0.1, 2024-03-20 15:04:37, POST, /SIP_application/students/register, HTTP/1.1, 200, 0.391127
127.0.0.1, 2024-03-20 15:04:43, POST, /SIP_application/students/register, HTTP/1.1, 400, 0.419560
127.0.0.1, 2024-03-20 15:04:58, GET, /SIP_application/default/user/login, HTTP/1.1, 200, 0.804770
127.0.0.1, 2024-03-20 15:05:01, POST, /SIP_application/default/user/login, HTTP/1.1, 303, 0.839734
127.0.0.1, 2024-03-20 15:05:02, GET, /SIP_application/default/index, HTTP/1.1, 200, 0.457840
127.0.0.1, 2024-03-20 15:05:02, GET, /SIP_application/static/images/background.jpg, HTTP/1.1, 404, 0.003811
127.0.0.1, 2024-03-20 15:05:04, GET, /SIP_application/classrooms/classrooms_view, HTTP/1.1, 200, 0.658907
127.0.0.1, 2024-03-20 15:05:06, GET, /SIP_application/classrooms/classrooms_view/new/classrooms, HTTP/1.1, 200, 0.641568
127.0.0.1, 2024-03-20 15:05:12, POST, /SIP_application/classrooms/classrooms_view/new/classrooms, HTTP/1.1, 303, 0.872671
127.0.0.1, 2024-03-20 15:05:15, GET, /SIP_application/classrooms/classrooms_view, HTTP/1.1, 200, 2.746865
127.0.0.1, 2024-03-20 15:05:19, GET, /SIP_application/classrooms/classrooms_view, HTTP/1.1, 200, 1.166446
127.0.0.1, 2024-03-20 15:05:25, GET, /SIP_application/classrooms/classrooms_view, HTTP/1.1, 200, 1.058145
127.0.0.1, 2024-03-20 15:05:25, GET, /SIP_application/classrooms/classrooms_view/new/classrooms, HTTP/1.1, 200, 0.475230
127.0.0.1, 2024-03-20 15:05:27, GET, /SIP_application/classrooms/classrooms_view, HTTP/1.1, 200, 1.243381
127.0.0.1, 2024-03-20 15:05:28, GET, /SIP_application/default/index, HTTP/1.1, 200, 0.516784
127.0.0.1, 2024-03-20 15:05:53, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 1.895656
127.0.0.1, 2024-03-20 15:06:55, POST, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 1.193240
127.0.0.1, 2024-03-20 15:06:57, GET, /SIP_application/appadmin/index, HTTP/1.1, 200, 0.598467
127.0.0.1, 2024-03-20 15:07:03, GET, /SIP_application/appadmin/hooks, HTTP/1.1, 200, 5.458694
127.0.0.1, 2024-03-20 15:07:05, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 4.950578
127.0.0.1, 2024-03-20 15:07:06, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 1.786000
127.0.0.1, 2024-03-20 15:07:12, POST, /SIP_application/students/register, HTTP/1.1, 200, 0.723758
127.0.0.1, 2024-03-20 15:07:15, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.650468
127.0.0.1, 2024-03-20 15:07:47, POST, /SIP_application/attendance/create_attendance, HTTP/1.1, 500, 3.198876
127.0.0.1, 2024-03-20 15:28:44, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 500, 1.304642
127.0.0.1, 2024-03-20 15:28:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000824
127.0.0.1, 2024-03-20 15:28:49, GET, /admin/default/ticket/SIP_application/127.0.0.1.2024-03-20.15-28-42.f2d11ab7-93a9-4f0a-b707-e16d3d4e7fab, HTTP/1.1, 200, 2.654797
127.0.0.1, 2024-03-20 15:28:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000486
127.0.0.1, 2024-03-20 15:29:48, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.733556
